"title" "link" "director" "star" "quote"
"89" "飞越疯人院" "https://movie.douban.com/subject/1292224/" "
                            导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola<U+00A0><U+00A0><U+00A0>主演: 阿尔·帕西诺 A...
                            1974<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>剧情 犯罪
                        " "9.0" "自由万岁。"
"90" "窃听风暴" "https://movie.douban.com/subject/1900841/" "
                                优雅的孤独。
                            " "9.1" "别样人生。"
"91" "海豚湾" "https://movie.douban.com/subject/3442220/" "
                            导演: 宫崎骏 Hayao Miyazaki<U+00A0><U+00A0><U+00A0>主演: 倍赏千惠子 Chieko Baish<U+00F4> / 木村拓...
                            2004<U+00A0>/<U+00A0>日本<U+00A0>/<U+00A0>爱情 动画 奇幻 冒险
                        " "9.3" "海豚的微笑，是世界上最高明的伪装。"
"92" "闻香识女人" "https://movie.douban.com/subject/1298624/" "
                                带着心爱的人在天空飞翔。
                            " "8.9" "史上最美的探戈。"
"93" "V字仇杀队" "https://movie.douban.com/subject/1309046/" "
                            导演: 彼得·杰克逊 Peter Jackson<U+00A0><U+00A0><U+00A0>主演: 伊利亚·伍德 Elijah Wood / 西恩...
                            2002<U+00A0>/<U+00A0>美国 新西兰<U+00A0>/<U+00A0>剧情 动作 奇幻 冒险
                        " "8.8" "一张面具背后的理想与革命。"
"94" "美丽心灵" "https://movie.douban.com/subject/1306029/" "
                                承前启后的史诗篇章。
                            " "8.9" "爱是一切逻辑和原由。"
"95" "教父2" "https://movie.douban.com/subject/1299131/" "
                            导演: 彼得·杰克逊 Peter Jackson<U+00A0><U+00A0><U+00A0>主演: 伊利亚·伍德 Elijah Wood / 西恩...
                            2001<U+00A0>/<U+00A0>新西兰 美国<U+00A0>/<U+00A0>剧情 动作 奇幻 冒险
                        " "9.1" "优雅的孤独。"
"96" "哈尔的移动城堡" "https://movie.douban.com/subject/1308807/" "
                                传说的开始。
                            " "8.8" "带着心爱的人在天空飞翔。"
"97" "指环王2：双塔奇兵" "https://movie.douban.com/subject/1291572/" "
                            导演: Jean-Pierre Jeunet<U+00A0><U+00A0><U+00A0>主演: 奥黛丽·塔图 Audrey Tautou / 马修·卡索...
                            2001<U+00A0>/<U+00A0>法国 德国<U+00A0>/<U+00A0>喜剧 爱情
                        " "8.9" "承前启后的史诗篇章。"
"98" "指环王1：魔戒再现" "https://movie.douban.com/subject/1291571/" "
                                法式小清新。 
                            " "8.9" "传说的开始。"
"99" "天使爱美丽" "https://movie.douban.com/subject/1292215/" "
                            导演: 岩井俊二 Shunji Iwai<U+00A0><U+00A0><U+00A0>主演: 中山美穗 Miho Nakayama / 丰川悦司 Ets...
                            1995<U+00A0>/<U+00A0>日本<U+00A0>/<U+00A0>剧情 爱情
                        " "8.7" "法式小清新。 "
"100" "情书" "https://movie.douban.com/subject/1292220/" "
                                暗恋的极致。
                            " "8.8" "暗恋的极致。"
"101" "死亡诗社" "https://movie.douban.com/subject/1291548/" "
                            导演: 彼得·威尔 Peter Weir<U+00A0><U+00A0><U+00A0>主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...
                            1989<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>剧情
