"movie_title" "movie_detail" "movie_num" "movie_evaluate" "link"
                        " "8.7" "459907人评价" "https://movie.douban.com/subject/1292370/"
"62" "小鞋子" "
                            导演: 马基德·马基迪 Majid Majidi<U+00A0><U+00A0><U+00A0>主演: Amir Farrokh Hashemian / 默罕...
                            1999<U+00A0>/<U+00A0>伊朗<U+00A0>/<U+00A0>剧情 家庭 儿童
                        " "9.2" "127117人评价" "https://movie.douban.com/subject/1303021/"
"63" "饮食男女" "
                            导演: 李安 Ang Lee<U+00A0><U+00A0><U+00A0>主演: 吴倩莲 Chien-lien Wu / 杨贵媚 Kuei-Mei Yang /...
                            1994<U+00A0>/<U+00A0>台湾 美国<U+00A0>/<U+00A0>剧情 家庭
                        " "9.0" "176247人评价" "https://movie.douban.com/subject/1291818/"
"64" "音乐之声" "
                            导演: Robert Wise<U+00A0><U+00A0><U+00A0>主演: 朱丽·安德鲁斯 Julie Andrews / 克里斯托弗·普...
                            1965<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>剧情 爱情 歌舞 家庭 传记
                        " "8.9" "220377人评价" "https://movie.douban.com/subject/1294408/"
"65" "低俗小说" "
                            导演: 昆汀·塔伦蒂诺 Quentin Tarantino<U+00A0><U+00A0><U+00A0>主演: 约翰·特拉沃尔塔 John Tra...
                            1994<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>剧情 喜剧 犯罪
                        " "8.7" "312657人评价" "https://movie.douban.com/subject/1291832/"
"66" "入殓师" "
                            导演: 泷田洋二郎 Y<U+00F4>jir<U+00F4> Takita<U+00A0><U+00A0><U+00A0>主演: 本木雅弘 Masahiro Motoki / ...
                            2008<U+00A0>/<U+00A0>日本<U+00A0>/<U+00A0>剧情
                        " "8.8" "304475人评价" "https://movie.douban.com/subject/2149806/"
"67" "本杰明·巴顿奇事" "
                            导演: 大卫·芬奇 David Fincher<U+00A0><U+00A0><U+00A0>主演: 凯特·布兰切特 Cate Blanchett / ...
                            2008<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>剧情 爱情 奇幻
                        " "8.7" "372937人评价" "https://movie.douban.com/subject/1485260/"
"68" "沉默的羔羊" "
                            导演: 乔纳森·戴米 Jonathan Demme<U+00A0><U+00A0><U+00A0>主演: 朱迪·福斯特 Jodie Foster / 安...
                            1991<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>剧情 犯罪 惊悚
                        " "8.7" "331182人评价" "https://movie.douban.com/subject/1293544/"
"69" "蝴蝶效应" "
                            导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber<U+00A0><U+00A0><U+00A0>主...
                            2004<U+00A0>/<U+00A0>美国 加拿大<U+00A0>/<U+00A0>剧情 悬疑 科幻 惊悚
                        " "8.7" "360557人评价" "https://movie.douban.com/subject/1292343/"
"70" "黑客帝国" "
