title	score	score_num	pic	link
碧海蓝天	8.7	102880人评价	https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p455724599.jpg	https://movie.douban.com/subject/1300960/
秒速5厘米	8.4	268135人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p982896012.jpg	https://movie.douban.com/subject/2043546/
罗生门	8.7	111636人评价	https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1864872647.jpg	https://movie.douban.com/subject/1291879/
梦之安魂曲	8.7	101900人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p884936202.jpg	https://movie.douban.com/subject/1292270/
战争之王	8.5	161750人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p453719066.jpg	https://movie.douban.com/subject/1419936/
可可西里	8.6	118826人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2363208684.jpg	https://movie.douban.com/subject/1308857/
心迷宫	8.6	137231人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2275298525.jpg	https://movie.douban.com/subject/25917973/
唐伯虎点秋香	8.3	287149人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1946455272.jpg	https://movie.douban.com/subject/1306249/
超能陆战队	8.6	334323人评价	https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p2224568669.jpg	https://movie.douban.com/subject/11026735/
时空恋旅人	8.6	174714人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2070153774.jpg	https://movie.douban.com/subject/10577869/
海盗电台	8.6	157010人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p769608791.jpg	https://movie.douban.com/subject/3007773/
谍影重重2	8.5	146496人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p667644866.jpg	https://movie.douban.com/subject/1308767/
谍影重重	8.5	177063人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1597183981.jpg	https://movie.douban.com/subject/1304102/
蝙蝠侠：黑暗骑士崛起	8.5	270547人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1706428744.jpg	https://movie.douban.com/subject/3395373/
阿飞正传	8.5	162134人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p924558512.jpg	https://movie.douban.com/subject/1305690/
荒蛮故事	8.7	112800人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2192834364.jpg	https://movie.douban.com/subject/24750126/
地球上的星星	8.8	72328人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1973489335.jpg	https://movie.douban.com/subject/2363506/
小森林 冬春篇	8.9	94827人评价	https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p2215147728.jpg	https://movie.douban.com/subject/25814707/
迁徙的鸟	9.1	49084人评价	https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p2238274168.jpg	https://movie.douban.com/subject/1292281/
荒野生存	8.6	117923人评价	https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p465687407.jpg	https://movie.douban.com/subject/1905462/
恐怖游轮	8.3	283237人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p462470694.jpg	https://movie.douban.com/subject/3011051/
